Benefit Illustration for Linked Insurance Products - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Proposal No. :,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of Prospect/Policyholder:,,,,,XYZ,,,,Name of the Product:,,,,,SUD Life e-Wealth Royale,,,,,,,,,,,,,,,,,,,
Age: ,,,,,37,,,,Tag Line:,,,,,"Individual Unit - Linked 
Non-Participating Life Insurance Plan",,,,,,,,,,,,,,,,,,,
Name of Life Assured:,,,,,ABC,,,,Unique Identification  Number:,,,,,142L082V03,,,,,,,,,,,,,,,,,,,
Age: ,,,,,37,,,,GST Rate:,,,,,0%,,,,,,,,,,,,,,,,,,,
Sum Assured:,,,,,"2,40,000",,,,Investment Strategy opted for:,,,,,Self-Managed Investment Strategy,,,,,,,,,,,,,,,,,,,
Policy Term:,,,,,20,,,,Sr. No.,,Funds opted,,,Risk Profile,Proportion,,,,,,,,,,,,,,,,,,
Premium Payment Term:,,,,,10,,,,1,,"SUD Life Nifty  Alpha 50 Index Fund
SFIN:ULIF 041 26/07/25 SUD-LI-ALP 142",,,High,100%,,,,,,,,,,,,,,,,,,
Annualized Premium,,,,,"24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode of payment of premium:,,,,,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Option Choosen,,,,,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to read and understand this benefit illustration?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This benefit illustration is intended to show what charges are deducted from your premiums and how the unit fund, net of charges and taxes, may grow over the years of the policy term if the fund earns a gross return of 8% p.a. or 4% p.a. These rates, i.e., 8% p.a. and 4% p.a. are assumed only for the purpose of illustrating the flow of benefits if the returns are at this level. It should not be interpreted that the returns under the plan are going to be either 8% p.a. or 4% p.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For minor lives with entry age less than 5 years, risk commencement date will start one day before the completion of two years from date of commencement of the policy or at the first monthly policy anniversary after attainment of age 5 years whichever is earlier.
For lives with age at entry 5 years and above, date of commencement of policy and date of commencement of risk shall be same. 
The policy will automatically vest in the life assured on attaining majority.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
